Name,Country,State/Province
"Instituto Valenciano de Infertilidad, IVI VALENCIA",Spain,Valencia
National Institute on Drug Abuse (NIDA),United States,Maryland
Columbia University,United States,New York
Ottawa Hospital Research Institute,Canada,Ontario
"Goldman, Butterwick, Fitzpatrick and Groff",United States,Pennsylvania
"University of California, San Diego",United States,California
Newcastle University,United Kingdom,England
Wuerzburg University Hospital,Germany,Bavaria
Haukeland University Hospital,Norway,Vestland
"OPKO Health, Inc.",United States,Florida
"Genexine, Inc.",South Korea,Seoul
Ascendis Pharma Endocrinology Division A/S,Denmark,Capital Region
Elizabeth Shane,United States,California
University of Helsinki,Finland,Uusimaa
"Acceleron Pharma, Inc., a wholly-owned subsidiary of Merck & Co., Inc., Rahway, NJ USA",USA,New Jersey
Wockhardt,India,Maharashtra
Second Military Medical University,China,Shanghai
"EMD Serono Research & Development Institute, Inc.",United States,Massachusetts
Providence Health & Services,USA,Washington
Italfarmaco,Italy,Lombardy
Milton S. Hershey Medical Center,United States,Pennsylvania
Luo Chengyan,China,Guangdong
Changhai Hospital,China,Shanghai
Mayo Clinic,United States,Minnesota
"Suzhou Connect Biopharmaceuticals, Ltd.",China,Jiangsu
Zhejiang University,China,Zhejiang
Ferring Pharmaceuticals,Switzerland,Vaud
University of Texas Southwestern Medical Center,United States,Texas
The First Affiliated Hospital of Nanchang University,China,Jiangxi
Stemirna Therapeutics,USA,Maryland
Lytix Biopharma AS,Norway,Oslo
"3D Medicines (Sichuan) Co., Ltd.",China,Sichuan
Trevena Inc.,United States,Pennsylvania
Merck Sharp & Dohme LLC,United States,New Jersey
Akeso,China,Guangdong
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),United States,Maryland
Shanghai 6th People's Hospital,China,Shanghai
"University Health Network, Toronto",Canada,Ontario
Altor BioScience,United States,Florida
Bharat Serums and Vaccines Limited,India,Maharashtra
Eurofarma Laboratorios S.A.,Brazil,São Paulo
Astellas Pharma Europe B.V.,Netherlands,North Holland
SLK Kliniken Heilbronn GmbH,Germany,Baden-Württemberg
"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",China,Jiangsu
"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",China,Jiangsu
China-Japan Friendship Hospital,China,Beijing
Vaxiion Therapeutics,United States,California
"Ankyra Therapeutics, Inc",United States,Massachusetts
Second Affiliated Hospital of Soochow University,China,Jiangsu
"Merck KGaA, Darmstadt, Germany",Germany,Hesse
Chuncheon Sacred Heart Hospital,South Korea,Gangwon Province
"Qilu Pharmaceutical Co., Ltd.",China,Shandong
"Mural Oncology, Inc",United States,Massachusetts
Suzhou Zanrong Pharma Limited,China,Jiangsu
Redx Pharma Plc,United Kingdom,England
Blueprint Medicines Corporation,United States,Massachusetts
Medical University of Vienna,Austria,Vienna
Musculoskeletal Transplant Foundation,United States,New Jersey
Stealth BioTherapeutics Inc.,United States,Massachusetts
"Hartmut Malluche, MD",Germany,North Rhine-Westphalia
"Teva Branded Pharmaceutical Products R&D, Inc.",United States,New Jersey
Dr. Korman Laboratories Ltd.,Canada,Alberta
"University Hospital, Montpellier",France,Occitanie
"Rajshekhar Chakraborty, MD",United States,Maryland
"Anders Fink-Jensen, MD, DMSci",Denmark,Hovedstaden
Oklahoma State University Center for Health Sciences,United States,Oklahoma
"Dicerna Pharmaceuticals, Inc., a Novo Nordisk company",United States,Massachusetts
"University of North Carolina, Chapel Hill",United States,North Carolina
"Timothy Morgan, MD",United States,California
Ankara University,Turkey,Ankara
Duke University,United States,North Carolina
"Genentech, Inc.",United States,California
Shanghai Zhangjiang Biotechnology Limited Company,China,Shanghai
MedImmune LLC,United States,Maryland
Cinnagen,Iran,Tehran
Cytos Biotechnology AG,Switzerland,Zug
Shanghai Zhongshan Hospital,China,Shanghai
Yuhan Corporation,South Korea,Seoul
Amber Patterson,United States,Louisiana
Keymed Biosciences Co.Ltd,China,Jiangsu
Bayside Health,Australia,Victoria
Johns Hopkins University,United States,Maryland
Roxall Medizin,Germany,North Rhine-Westphalia
Karolinska Institutet,Sweden,Stockholm County
Plaza del Hospital Civil,Spain,Andalucía
Allergy Therapeutics,United Kingdom,England
Leti Pharma GmbH,Germany,Bavaria
Eye & ENT Hospital of Fudan University,China,Shanghai
"Christopher Thompson, MD",USA,California
Medical University of Silesia,Poland,Silesia Voivodeship
HAL Allergy,Netherlands,Gelderland
University Hospitals Cleveland Medical Center,United States,Ohio
Beijing Tongren Hospital,China,Beijing
"Laboratorios Leti, S.L.",Spain,Madrid.
"University of Colorado, Denver",United States,Colorado
Roxall Medicina España S.A,Spain,Madrid
University of Zurich,Switzerland,Zurich
Allergopharma GmbH & Co. KG,Germany,Schleswig-Holstein
Assistance Publique - Hôpitaux de Paris,France,Île-de-France
Children's Mercy Hospital Kansas City,United States,Missouri
ALK-Abelló A/S,Denmark,Capital Region of Denmark
National Institutes of Health Clinical Center (CC),United States,Maryland
Organon and Co,United States,New Jersey
Ronald Witteles,United States,New York
Nektar Therapeutics,United States,California
Sheba Medical Center,Israel,Central District
Icahn School of Medicine at Mount Sinai,United States,New York
Q32 Bio Inc.,United States,Massachusetts
University of British Columbia,Canada,British Columbia
Assiut University,Egypt,Asyut
Emma Guttman,Germany,Berlin
Beth Israel Deaconess Medical Center,United States,Massachusetts
"Kerastem Technologies, LLC",United States,Florida
"University of Massachusetts, Worcester",USA,Massachusetts
Arrowhead Pharmaceuticals,United States,California
"Genzyme, a Sanofi Company",USA,Massachusetts
The Methodist Hospital Research Institute,United States,Texas
"Stanley H. Appel, MD",United States,Texas
Athira Pharma,USA,Washington
"G2GBio, Inc.",United States,California
"Inmune Bio, Inc.",United States,California
Pfizer,United States,New York
"Marc L Gordon, MD",USA,New York
Novo Nordisk A/S,Denmark,Capital Region of Denmark
Araclon Biotech S.L.,Spain,Aragon
Eli Lilly and Company,United States,Indiana
"University of Maryland, Baltimore",United States,Maryland
Affiris AG,Austria,Vienna
Chugai Pharmaceutical,Japan,Tokyo
Chang Gung Memorial Hospital,Taiwan,Taoyuan County
University of Southampton,United Kingdom,England
Biogen,United States,Massachusetts
Axon Neuroscience SE,Austria,Vienna
Hospital Universitario Dr. Jose E. Gonzalez,Mexico,Nuevo León
Guangdong Provincial People's Hospital,China,Guangdong
"Kura Oncology, Inc.",United States,California
"Cytheris, Inc.",United States,California
Brigham and Women's Hospital,United States,Massachusetts
Centre Hospitalier Universitaire de Nīmes,France,Occitanie
"Merit E. Cudkowicz, MD",United States,Massachusetts
"Charite University, Berlin, Germany",Germany,Berlin
MedRegen LLC,USA,Florida
University of Birmingham,United Kingdom,England
PT Kalbe Genexine Biologics,Indonesia,Jakarta
University Hospital of Ferrara,Italy,Emilia-Romagna
GCS Ramsay Santé pour l'Enseignement et la Recherche,France,Île-de-France
University of Manitoba,Canada,Manitoba
Ohio State University,United States,Ohio
Centre Hospitalier Universitaire Vaudois,Switzerland,Vaud
"Centre Hospitalier Universitaire, Amiens",France,Hauts-de-France
Santiste Medical Inc.,United States,California
University of Florida,United States,Florida
Mathew S. Maurer,United States,New Jersey
"Institut National de la Santé Et de la Recherche Médicale, France",France,Île-de-France
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",United States,New Jersey
Hallym University Medical Center,South Korea,Gyeonggi Province
"Institute of Hematology & Blood Diseases Hospital, China",China,Hubei
Sandoz,Switzerland,Basel-Stadt
Nanogen Pharmaceutical Biotechnology Joint Stock Company,Vietnam,Ho Chi Minh City
Affymax,United States,California
"University Hospital, Angers",France,Pays de la Loire
Bayer,Germany,North Rhine-Westphalia
Raymond Chung,United States,California
Suez Canal University,Egypt,Ismailia
Women's College Hospital,Canada,Ontario
Hippocration General Hospital,Greece,Crete
Imperial College Healthcare NHS Trust,United Kingdom,England
Shire,United Kingdom,England
"Bernstein, Jonathan A., M.D.",United States,New York
Gilead Sciences,United States,California
Huijing Wu,China,Guangdong
University of Calgary,Canada,Alberta
Lahey Clinic,United States,Massachusetts
National Scientific Center of Traumatology and Orthopedics named after academician N.D. Batpenov,Kazakhstan,Almaty Region
Taipei Medical University WanFang Hospital,Taiwan,Taipei City
Stephane Genevay,Switzerland,Vaud
Cancer Trials Ireland,Ireland,Dublin
UCB Biopharma SRL,Belgium,Walloon Brabant
"University Hospital, Tours",France,Centre-Val de Loire
Wyeth is now a wholly owned subsidiary of Pfizer,United States,New York
Zhixiang Huang,China,Guangdong
"Centocor, Inc.",United States,Pennsylvania
Biocad,Russia,Saint Petersburg
Hanyang University Seoul Hospital,South Korea,Seoul
"Motus Therapeutics, Inc.",United States,Illinois
Gabriella Milos,Italy,Campania
University of Alexandria,Egypt,Alexandria
Castilla-La Mancha Health Service,Spain,Castilla-La Mancha
BlueWillow Biologics,United States,Michigan
Emergent BioSolutions,United States,Maryland
"University Hospital, Caen",France,Normandy
Barry A. Boilson,United States,Pennsylvania
Blau Farmaceutica S.A.,Mexico,Jalisco
"University Hospital, Bordeaux",France,Nouvelle-Aquitaine
"Staidson (Beijing) Biopharmaceuticals Co., Ltd",China,Beijing
"Kyowa Kirin Korea Co., Ltd.",South Korea,Seoul
Peking Union Medical College Hospital,China,Beijing
Ospedale di Circolo - Fondazione Macchi,Italy,Lombardy
"Gan and Lee Pharmaceuticals, USA",USA,Texas
IVFarma LLC,United States,Delaware
Zagazig University,Egypt,Sharqia
Galapagos NV,Belgium,Flanders
Seoul National University Hospital,South Korea,Seoul
Royal Devon and Exeter NHS Foundation Trust,United Kingdom,England
Damascus University,Syria,Damascus
Abbott,United States,Illinois
CSL Behring,Australia,Victoria
"Janssen Pharmaceutica N.V., Belgium",Belgium,Antwerp
UCB BIOSCIENCES GmbH,Germany,North Rhine-Westphalia
LG Life Sciences,South Korea,Seoul
"Fujifilm Kyowa Kirin Biologics Co., Ltd.",Japan,Shizuoka Prefecture
Bristol-Myers Squibb,United States,New Jersey
NHS Greater Glasgow and Clyde,United Kingdom,Scotland
Lille Catholic University,France,Hauts-de-France
Oregon Health and Science University,United States,Oregon
Nordic Pharma SAS,France,Île-de-France
Tufts Medical Center,United States,Massachusetts
"AbbVie (prior sponsor, Abbott)",United States,Illinois
Mallinckrodt,United States,Missouri
"Janssen Biotech, Inc.",United States,Pennsylvania
Centre Hospitalier Universitaire de Nice,France,Provence-Alpes-Côte d'Azur
UCB Pharma,Belgium,Brussels-Capital Region
Ochsner Health System,USA,Louisiana
Rothman Institute Orthopaedics,United States,Pennsylvania
Diwuweilong,China,Guangdong
The Medicines Company,United States,New Jersey
Baxalta now part of Shire,United States,Illinois
Rochester General Hospital,United States,New York
"Bio Genuine (Shanghai) Biotech Co., Ltd.",China,Shanghai
"Jiangsu HengRui Medicine Co., Ltd.",China,Jiangsu
Harbour BioMed (Guangzhou) Co. Ltd.,China,Guangdong
Octapharma,Switzerland,Lucerne
Shanghai Mabgeek Biotech.Co.Ltd,China,Shanghai
Region Skane,Sweden,Skåne County
"Shanghai Hengrui Pharmaceutical Co., Ltd.",China,Shanghai
Vanderbilt University Medical Center,United States,Tennessee
EMD Serono,United States,Massachusetts
McMaster University,Canada,Ontario
National Cancer Institute (NCI),United States,Maryland
Laval University,Canada,Quebec
"Genrix (Shanghai) Biopharmaceutical Co., Ltd.",China,Shanghai
Upstream Bio Inc.,United States,Massachusetts
Equillium,United States,California
University of Medicine and Dentistry of New Jersey,United States,New Jersey
Zuyderland Medisch Centrum,Netherlands,Limburg
Erasmus Medical Center,Netherlands,South Holland
"National Heart, Lung, and Blood Institute (NHLBI)",United States,Maryland
Singapore General Hospital,Singapore,Central Region
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",China,Jiangsu.
Dr. Anne Ellis,Canada,Ontario
Helsinki University Central Hospital,Finland,Uusimaa
"University Hospital, Grenoble",France,Auvergne-Rhône-Alpes
Dr. Grace Parraga,Canada,Ontario
Aristotle University Of Thessaloniki,Greece,Central Macedonia
"University of California, Davis",United States,California
"University of Newcastle, Australia",Australia,New South Wales
"Ian F. Pollack, M.D.",United States,New Jersey
Cambridge University Hospitals NHS Foundation Trust,United Kingdom,England
Canadian Medical and Surgical Knowledge Translation Research Group,Canada,Ontario
"Biosion, Inc.",United States,California
Association pour la Recherche Clinique et Immunologique,France,Île-de-France
LEO Pharma,Denmark,Capital Region
ASLAN Pharmaceuticals,Singapore,Central Singapore
Galderma R&D,Switzerland,Vaud
Abramson Cancer Center at Penn Medicine,United States,Pennsylvania
Brexogen Inc.,United States,California
"Almirall, S.A.",Spain,Catalonia
Immetacyte Ltd,United Kingdom,England
Heptares Therapeutics Limited,United Kingdom,England
"Oneness Biotech Co., Ltd.",Taiwan,Taipei City
PD Dr. med. Stephan Michels,Germany,North Rhine-Westphalia
Akesobio Australia Pty Ltd,Australia,Victoria
Numab Therapeutics AG,Switzerland,Zug
"Kang Stem Biotech Co., Ltd.",South Korea,Gyeonggi-do
"Zafgen, Inc.",United States,Massachusetts
Catalyst Biosciences,United States,California
Chattanooga-Hamilton County Hospital Authority,United States,Tennessee
"ImmunityBio, Inc.",United States,California
selectION Therapeutics GmbH,Germany,Hamburg
Nantes University Hospital,France,Pays de la Loire
Casa Espirita Terra de Ismael,Brazil,Minas Gerais
St. Justine's Hospital,Canada,Quebec
Northwestern University,United States,Illinois
Inozyme Pharma,USA,Massachusetts
"Beijing Suncadia Pharmaceuticals Co., Ltd",China,Beijing
"Anthos Therapeutics, Inc.",USA,Massachusetts
The Second Affiliated Hospital of Chongqing Medical University,China,Chongqing
"Vandeputte, Joan, M.D.",United States,California
Baylor Research Institute,USA,Texas
Stemform,Netherlands,North Holland
"University of California, San Francisco",United States,California
Arkansas Children's Hospital Research Institute,United States,Arkansas
"Kezar Life Sciences, Inc.",United States,California
Stanley Cohen,United States,New York
Minneapolis Heart Institute Foundation,United States,Minnesota
Eastern Virginia Medical School,United States,Virginia
University Medical Center Groningen,Netherlands,Groningen
Regulus Therapeutics Inc.,United States,California
Izana Bioscience Ltd.,United Kingdom,England
"Kyowa Kirin Co., Ltd.",Japan,Tokyo
"UCB BIOSCIENCES, Inc.",United States,Delaware
ViiV Healthcare,United Kingdom,England
"Brian Hill, MD, PhD",United States,Virginia
MCM Vaccines B.V.,Netherlands,North Brabant
"Rhythm Pharmaceuticals, Inc.",United States,Massachusetts
Chronic Lymphocytic Leukemia Research Consortium,United States,California
Tawam Hospital,United Arab Emirates,Abu Dhabi
ADC Therapeutics S.A.,Switzerland,Vaud
Tokyo University,Japan,Tokyo
Tehran University of Medical Sciences,Iran,Tehran
Samaritan Health Services,United States,Oregon
Zhejiang Cancer Hospital,China,Zhejiang
Robin Kate Kelley,United States,California
Geropharm,Russia,Moscow Oblast
Merckle GmbH,Germany,Baden-Württemberg
"RemeGen Co., Ltd.",China,Hubei
"Coherus Biosciences, Inc.",United States,California
Gedeon Richter Plc.,Hungary,Budapest
First Affiliated Hospital of Zhejiang University,China,Zhejiang Province
Desentum Oy,Finland,Uusimaa
Odense University Hospital,Denmark,Syddanmark
"University College, London",United Kingdom,England
Dance Biopharm Inc.,USA,Texas
University of Alberta,Canada,Alberta
YangHui,China,Zhejiang
Major Extremity Trauma Research Consortium,United States,Pennsylvania
"University Hospital, Rouen",France,Normandy
"General Committee of Teaching Hospitals and Institutes, Egypt",Egypt,Cairo
Zeltiq Aesthetics,United States,Arizona
Rennes University Hospital,France,Brittany
"Mabwell (Shanghai) Bioscience Co., Ltd.",China,Shanghai
Luye Pharma Group Ltd.,China,Guangdong
"Genor Biopharma Co., Ltd.",China,Guangdong
Zhongnan Hospital,China,Hubei
"Tribhuvan University Teaching Hospital, Institute Of Medicine.",Nepal,Bagmati Pradesh
Children's Oncology Group,United States,California
Juva Skin & Laser Center,United States,California
"University of California, Irvine",United States,California
"Vera Therapeutics, Inc.",United States,California
Tianjin Medical University Cancer Institute and Hospital,China,Tianjin
NYU Langone Health,United States,New York
Spanish Breast Cancer Research Group,Spain,Madrid
Xiangyun Zong,China,Fujian
Weill Medical College of Cornell University,United States,New York
Peking University,China,Beijing
Instituto de Cancerología S.A.,Colombia,Cundinamarca
Maastricht University Medical Center,Netherlands,Limburg
Establishment Labs,Costa Rica,Alajuela
"Rita Sanghvi, Mehta",India,Maharashtra
University of Nebraska,United States,Nebraska
Tolmar Inc.,USA,Colorado
"Jiangsu T-Mab Biopharma Co.,Ltd",China,Jiangsu
NSABP Foundation Inc,United States,Pennsylvania
Central European Cooperative Oncology Group,Austria,Vienna
Fondazione Sandro Pitigliani,Italy,Tuscany
"Gustave Roussy, Cancer Campus, Grand Paris",France,Île-de-France
New York Presbyterian Hospital,United States,New York
University of Miami,United States,Florida
Alison Stopeck,United States,Florida
BTG International Inc.,USA,Virginia
Barbara Ann Karmanos Cancer Institute,United States,Michigan
MedSIR,Spain,Catalonia
"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",China,Shandong
German Breast Group,Germany,Bavaria
Yolanda Chan,China,Guangdong
Henan Cancer Hospital,China,Henan
Lupin Ltd.,India,Maharashtra
Fudan University,China,Shanghai
Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,China,Guangdong
H. Lee Moffitt Cancer Center and Research Institute,United States,Florida
Alliance for Clinical Trials in Oncology,United States,Illinois
Purdue Pharma LP,United States,Connecticut
University of Alabama at Birmingham,United States,Alabama
Navidea Biopharmaceuticals,United States,Ohio
EVIVE Biotechnology,United States,California
"Masonic Cancer Center, University of Minnesota",United States,Minnesota
"Spectrum Pharmaceuticals, Inc",United States,Nevada
"National Cancer Institute, Egypt",Egypt,Cairo
David Grant U.S. Air Force Medical Center,United States,Texas
National Taiwan University Hospital Hsin-Chu Branch,Taiwan,Hsinchu County
Institut Català d'Oncologia,Spain,Catalonia
UNC Lineberger Comprehensive Cancer Center,United States,North Carolina
Lawson Health Research Institute,Canada,Ontario
"Atossa Therapeutics, Inc.",United States,Washington
King's College London,United Kingdom,England
"Policlinico Universitario, Catania",Italy,Sicily
Prof. Roberto Giacomelli,Italy,Emilia-Romagna
Hamilton Health Sciences Corporation,Canada,Ontario
"The University of Texas Medical Branch, Galveston",United States,Texas
Kwame Nkrumah University of Science and Technology,Ghana,Ashanti Region
"GCS Co., Ltd",South Korea,Gyeonggi-do
"NGM Biopharmaceuticals, Inc",United States,California
Endevica Bio,United States,Massachusetts
"AVEO Pharmaceuticals, Inc.",United States,Massachusetts
Daiichi Sankyo,Japan,Tokyo
University of Edinburgh,United Kingdom,Scotland
Shin Kong Wu Ho-Su Memorial Hospital,Taiwan,Taipei City
Istanbul University - Cerrahpasa (IUC),Turkey,Istanbul
Inovio Pharmaceuticals,USA,Pennsylvania
Beyond Air Inc.,United States,New York
"University Hospital, Limoges",France,Nouvelle-Aquitaine
Zealand University Hospital,Denmark,Syddanmark
Göteborg University,Sweden,Västra Götaland
Cancer Research Antwerp,Belgium,Flanders
The First Affiliated Hospital of Dalian Medical University,China,Liaoning
"Simcha IL-18, Inc.",United States,New Hampshire
Salubris Biotherapeutics Inc,China,Jiangsu
TriHealth Inc.,United States,Ohio
Lexicon Pharmaceuticals,United States,Texas
Shandong Cancer Hospital and Institute,China,Shandong Province
Sichuan Huiyang Life Science and Technology Corporation,China,Sichuan
Oxford BioMedica,United Kingdom,England
Lars Gullestad,Norway,Vest-Agder
Virginia Commonwealth University,United States,Virginia
LIB Therapeutics LLC,USA,California
Silence Therapeutics plc,United Kingdom,England
University of Delaware,United States,Delaware
Centre Hospitalier Universitaire de Besancon,France,Bourgogne-Franche-Comté
CMC Ambroise Paré,France,Île-de-France
Tri-Service General Hospital,Taiwan,Taipei City
Leslie Witton,Canada,British Columbia
"Nastech Pharmaceutical Company, Inc.",United States,Washington
Hospital Alvorada,Brazil,São Paulo
Elsan,France,Île-de-France
Norio Nonomura,Japan,Tokyo
Sir Mortimer B. Davis - Jewish General Hospital,Canada,Quebec
Wake Forest University Health Sciences,United States,North Carolina
Circassia Limited,United Kingdom,England
Bulent Ecevit University,Turkey,Zonguldak
"NiKang Therapeutics, Inc.",USA,Massachusetts
PhaseBio Pharmaceuticals Inc.,United States,Pennsylvania
Luxurgery,United States,New York
Daewoong Pharmaceutical Co. LTD.,South Korea,Seoul
"Wuhan Union Hospital, China",China,Hubei
Bundang CHA Hospital,South Korea,Gyeonggi Province
Chinese University of Hong Kong,Hong Kong,N/A
Band Therapeutics,United States,California
Peking University Third Hospital,China,Beijing
Chongqing University Cancer Hospital,China,Chongqing
"Precigen, Inc",USA,Maryland
Radiation Therapy Oncology Group,United States,Pennsylvania
University of Utah,United States,Utah
Zhanqing Xie,China,Guangdong
Rajavithi Hospital,Thailand,Bangkok
Xipeng Wang,China,Guangdong
"HaEmek Medical Center, Israel",Israel,Northern District
Alexandria University,Egypt,Alexandria
Kythera Biopharmaceuticals,United States,California
Endo Pharmaceuticals,USA,Pennsylvania
Ole Lander Svendsen,Norway,Vestfold og Telemark
University of Bern,Switzerland,Bern
"Ortho Biotech, Inc.",USA,New Jersey
Shanghai East Hospital,China,Shanghai
Heron Therapeutics,United States,California
Maxygen Holdings Ltd.,Singapore,Central Singapore.
"US Biotest, Inc.",United States,California
Tianjin SinoBiotech Ltd.,China,Tianjin
"Beijing Northland Biotech. Co., Ltd.",China,Beijing
Zhujiang Hospital,China,Guangdong
Ain Shams University,Egypt,Cairo
Vietnam Military Medical University,Vietnam,Hanoi
Mahidol University,Thailand,Nakhon Pathom
Seattle Children's Hospital,United States,Washington
"University Hospital, Clermont-Ferrand",France,Auvergne-Rhône-Alpes
Seoul St. Mary's Hospital,South Korea,Seoul
"Clinica Universidad de Navarra, Universidad de Navarra",Spain,Navarre
Instituto Mexicano del Seguro Social,Mexico,Mexico City
University of Haifa,Israel,Haifa District
"Michael Camilleri, MD",USA,California
Vertex Pharmaceuticals Incorporated,United States,Massachusetts
Association REMEDE,France,Provence-Alpes-Côte d'Azur
Radboud University Medical Center,Netherlands,Gelderland
Beijing 302 Hospital,China,Beijing
"Xiamen Amoytop Biotech Co., Ltd.",China,Fujian
"Third Affiliated Hospital, Sun Yat-Sen University",China,Guangdong
"Ascletis Pharmaceuticals Co., Ltd.",China,Zhejiang
Exsulin Corporation,United States,Florida
Henan Provincial People's Hospital,China,Henan
Arbutus Biopharma Corporation,Canada,British Columbia
"Vir Biotechnology, Inc.",United States,California
Beijing Ditan Hospital,China,Beijing
Suzhou Ribo Life Science Co. Ltd.,China,Jiangsu
AusperBio Therapeutics Inc.,Canada,Ontario
Yonsei University,South Korea,Seoul
"Novira Therapeutics, Inc.",United States,Maryland
Foundation for Liver Research,United Kingdom,England
