Name,Country,State/Province
NETRIS Pharma,Canada,Quebec
The Leukemia and Lymphoma Society,United States,New York
Second Affiliated Hospital of Soochow University|Changzhou No.2 People's Hospital|The First People's Hospital of Lianyungang|Jingjiang People's Hospital|Zhangjiagang First People's Hospital|The Second People's Hospital of Huai'an|The Third People's Hospital of Kunshan,China,Jiangsu
"Genzyme, a Sanofi Company",United States,Massachusetts
Notable Labs,United States,California
Pfizer,United States,New York
Harvard Clinical and Translational Science Center (Harvard Catalyst),United States,Massachusetts
Department of Health and Human Services,United States,Maryland
Premier Research Group plc,United Kingdom,England
"Renmin Hospital of Wuhan University|The Second Affiliated Hospital of Harbin Medical University|West China Hospital|The First Affiliated Hospital of Zhengzhou University|Peking Union Medical College Hospital|Wuhan Union Hospital, China|Fudan University|Guangdong Provincial People's Hospital|Ningbo No. 1 Hospital|Taizhou Hospital of Zhejiang Province affiliated to Wenzhou Medical University",China,Hubei Province
Aix Scientifics,United States,California
"Cromos Pharma LLC|Data Management 365|Keystat, LLC|R-Pharm|K-Research",USA,Virginia
Sheba Medical Center|Kaplan Medical Center|Soroka University Medical Center|Wolfson Medical Center|Tel-Aviv Sourasky Medical Center,Israel,Central District
IVI Bilbao|IVI Barcelona|IVI Madrid|IVI Sevilla|IVI Vigo|IVI Roma|Hospital Universitario La Paz|IVI Mallorca,Spain,Various Provinces
"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",China,Shanghai
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),United States,Maryland
Allergan|Maryland Laser Skin and Vein Institute,United States,Maryland
"University Hospital, Frankfurt, Germany|Endocrinology in Charlottenburg, Berlin, Germany",Germany,Berlin
"Karolinska Institutet|University Hospitals Bristol and Weston NHS Foundation Trust|Evaggelismos Hospital, Greece",Greece,Attica
"Peking Union Medical College Hospital|Peking University First Hospital|Hebei General Hospital|The Second Hospital of Hebei Medical University|Qilu Hospital of Shandong University|Second Affiliated Hospital, School of Medicine, Zhejiang University|The First Affiliated Hospital of Soochow University|First Affiliated Hospital of Chongqing Medical University|Chongqing Three Gorges Central Hospital|West China Hospital",China,Beijing
Creighton University,United States,Nebraska
"Uppsala University Hospital|Helse Stavanger HF|Tampere University Hospital|Turku University Hospital|Oulu University Hospital|Kuopio University Hospital|Jyväskylä Central Hospital|Satakunta Central Hospital|University Hospital, Umeå|University Hospital, Linkoeping",Sweden,"Uppsala  
Norway"
"Merck KGaA, Darmstadt, Germany",Germany,Hesse
Mologen AG,Germany,Berlin
Stemirna Therapeutics,China,Jiangsu
National Cancer Institute (NCI),United States,Maryland
"AMAG Pharmaceuticals, Inc.",United States,Massachusetts
Shanghai Dengding BioAI Co.,China,Shanghai
Peking University Cancer Hospital & Institute,China,Beijing
Laboratory Corporation of America|OWL,United States,North Carolina
Merck Sharp & Dohme LLC,United States,New Jersey
SciClone Pharmaceuticals,United States,California
National Institute on Aging (NIA),United States,Maryland
CTC Clinical Trial Consultants AB,Sweden,Stockholm
PPD,United States,North Carolina
"The Novavì outpatient clinics, Copenhagen|Neurobiology Research Unit, Rigshospitalet, Copenhagen|Section of Biostatistics University of Copenhagen, Copenhagen",Denmark,Capital Region of Denmark
National Institute of Drug Abuse,United States,Maryland
Parexel,United States,Massachusetts
National Institute on Alcohol Abuse and Alcoholism (NIAAA),United States,Maryland
"Genentech, Inc.|Tanox",United States,California
Sanofi,France,Île-de-France
Nationwide Children's Hospital,United States,Ohio
King's College London|ALK-Abelló A/S|Wellcome Trust,United Kingdom,England
National Institute of Allergy and Infectious Diseases (NIAID),United States,Maryland
Skane University Hospital|Karolinska University Hospital,Sweden,Skåne County
"Laboratorios Leti, S.L.",Spain,Madrid
Inflamax Research Incorporated|Metronomia Clinical Research GMBH,Canada,Ontario
Laboratorios LETI SL (Study Medication)|Pierrel Research Europe GmbH|Labor Dr. Spranger (Central lab),Spain,Madrid
Ergomed,United Kingdom,England
Centers for Disease Control and Prevention,United States,Georgia
Iltoo Pharma,India,Karnataka
"Immune Tolerance Network (ITN)|ALK-Abelló A/S|Regeneron Pharmaceuticals|PPD|Rho Federal Systems Division, Inc.",United States,North Carolina
Allergy Centre Vienna West,Austria,Vienna
Rockefeller University|Regeneron Pharmaceuticals|Sanofi,United States,New York
Innovaderm Research Inc.,Canada,Quebec
Novartis Pharmaceuticals,Switzerland,Basel-Stadt
"National Heart, Lung, and Blood Institute (NHLBI)|Applied Genetic Technologies Corp|Alpha-1 Foundation|University of Florida|National Center for Research Resources (NCRR)",United States,Florida
"National Heart, Lung, and Blood Institute (NHLBI)|Alpha-1 Foundation|University of Florida|National Center for Research Resources (NCRR)",United States,Florida
"Takeda Development Center Americas, Inc.",United States,Massachusetts
Massachusetts General Hospital|The Center for Clinical and Translational Sciences (CCTS) Clinical Research Unit at The University of Texas Health Science Center at Houston|North East Amyotrophic Lateral Sclerosis Consortium,United States,Massachusetts
Alzheimer's Drug Discovery Foundation|Biotrial Inc.,United States,New Jersey
Alzheimer's Association,United States,Illinois
"Janssen Scientific Affairs, LLC",United States,Pennsylvania
Iqvia Pty Ltd,Australia,New South Wales
Amgen,United States,California
Hampshire Hospitals NHS Foundation Trust|Wyeth is now a wholly owned subsidiary of Pfizer,United Kingdom,England
King's College Hospital NHS Trust|University of Oxford|University of Southampton|Avon and Wiltshire Mental Health Partnership NHS Trust,United Kingdom,England
The Dana Foundation,United States,New York
Eli Lilly and Company|Hoffmann-La Roche|Alzheimer's Association|National Institute on Aging (NIA)|Avid Radiopharmaceuticals|Accelerating Medicines Partnership (AMP),United States,Indiana
"Eli Lilly and Company|Hoffmann-La Roche|Alzheimer's Association|National Institute on Aging (NIA)|Avid Radiopharmaceuticals|Accelerating Medicines Partnership (AMP)|Eisai Inc.|Janssen, LP",USA,Indiana
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Center for Research Resources (NCRR)|Amgen,United States,Maryland
Shenzhen Chipscreen Biosciences Co.Ltd,China,Guangdong
The Leukemia and Lymphoma Society|Rising Tide Foundation|St. Louis Children's Hospital Foundation,United States,Missouri
Ra Pharmaceuticals,United States,Massachusetts
Massachusetts General Hospital,United States,Massachusetts
Max Planck Institute for Infection Biology,Germany,Berlin
TikoMed AB|University Hospital Birmingham|Neuregenix,Sweden,N/A
Novotech (Australia) Pty Limited,Australia,New South Wales
Medical Research Council,United Kingdom,England
"Assistance Publique - Hôpitaux de Paris|Ministry of Health, France|Ministry of Higher Education and Research, France",France,Île-de-France
Affymax,USA,California
FibroGen,United States,California
"Fosun Pharmaceutical Distribution Jiangsu co., Limited",China,Jiangsu
"Ortho Biotech Products, L.P.",United States,New Jersey
Vietstar Biomedical Research|MEDPHASE CLINICAL RESEARCH CONSULTANT COMPANY LIMITED|CLINICAL RESEARCH VIET NAM SKILL TRAINING AND CONSULTING COMPANY LIMITED|MedProve Inc,Vietnam,Ho Chi Minh City
First Affiliated Hospital of Wenzhou Medical University|Taizhou Hospital of Zhejiang Province affiliated to Wenzhou Medical University|The Central Hospital of Lishui City,China,Zhejiang
Eiger BioPharmaceuticals,United States,California
Merck Sharp & Dohme LLC|Imperial College London,United Kingdom,England
Dyax Corp.,United States,Massachusetts
Beijing Xisike Clinical Oncology Research Foundation|CSPC Pharmaceutical Group,China,Beijing
"University Hospital, Geneva",Switzerland,Geneva
Regeneron Pharmaceuticals,United States,New York
Boehringer Ingelheim,Germany,Rhineland-Palatinate
Linical Korea,South Korea,Seoul
Tercica,United States,California
Porton Biopharma Ltd.,United Kingdom,England
"CSL Behring|University of Alberta|Charite University, Berlin, Germany",Germany,Berlin
"Janssen Biotech, Inc.",United States,Pennsylvania
NADIM LLC,United States,Virginia
The Cleveland Clinic|Population Health Research Institute,United States,Ohio
Schering-Plough,United States,New Jersey
"Mochida Pharmaceutical Company, Ltd.",Japan,Tokyo
GlaxoSmithKline,United Kingdom,England
University of Glasgow,United Kingdom,Scotland
National Institute of Neurological Disorders and Stroke (NINDS),United States,Maryland
"Sanofi|ModeX Therapeutics, An OPKO Health Company",United States,Florida
Pharma Consulting Group AB,Sweden,Stockholm County
Vidacare Corporation,USA,Texas
Centocor BV,Netherlands,Limburg
Lund University,Sweden,Skåne County
Inner-City Asthma Consortium,United States,New York
"University of Glasgow|AstraZeneca|Queen's University, Belfast|Bosch Healthcare Solutions GmbH|InHealthcare|University of Leicester|University of Plymouth|Vitalograph",United Kingdom,Scotland
Tech Observer,United States,California
Biocon Limited|Equillium AUS Pty Ltd,Australia,New South Wales
"Ortho Biotech Clinical Affairs, L.L.C.",United States,New Jersey
Nederlandse Obesitas Kliniek,Netherlands,North Holland
"Inner-City Asthma Consortium|GlaxoSmithKline|Rho Federal Systems Division, Inc.",United States,New York
MedImmune Ltd,United Kingdom,Cambridge
AstraZeneca,United Kingdom,England
"NHS Pulmonary Clinic G. Papanikolaou Hospital, Thessaloniki, Greece|Pulmonary Clinic of Army Hospital Thessaloniki Greece|Pulmonary Clinic, Democritus University of Thrace|Pulmonary Clinic, University of Ioannina|1st Pulmonary Clinic, Kapodistrian University of Athens|2nd Pulmonary Clinic, Kapodistrian University of Athens|NHS 7th Pulmonary Clinic, Sotiria Hospital, Athens",Greece,Central Macedonia
"Oncovir, Inc.|National Cancer Institute (NCI)",United States,Maryland
University of Cambridge,United Kingdom,England
"Unity Health Toronto|Western University, Canada",Canada,Ontario
Southern Star Research Pty Ltd.,Australia,Queensland
Pacific Centre for Reproductive Medicine,Canada,British Columbia
"Dermira, Inc.",USA,California
"Ministry of Health, France",France,Île-de-France
Doris Duke Charitable Foundation,United States,New York
"Novartis|University Hospital, Zürich",Switzerland,Zürich
"Kaken Pharmaceutical Co., Ltd.",Japan,Tokyo
FGK Clinical Research GmbH,Germany,Bavaria
Norwood Immunology Limited|M.D. Anderson Cancer Center|Dana-Farber Cancer Institute,United States,Texas
Fundação de Amparo à Pesquisa do Estado de São Paulo,Brazil,São Paulo
IQVIA Biotech,United States,North Carolina
Covance,USA,New Jersey
Universitair Ziekenhuis Brussel,Belgium,Brussels-Capital Region
"Quintiles, Inc.",United States,North Carolina
"Rigshospitalet, Denmark|Aleris-Hamlet Hospitaler København",Denmark,Capital Region of Denmark
"Mount Sinai Hospital, New York|Icahn School of Medicine at Mount Sinai",United States,New York
Feinstein Institute for Medical Research|National Institute on Deafness and Other Communication Disorders (NIDCD),United States,Maryland
Toronto-Dominion Bank of Canada Funds for Clinical Research projects.,Canada,Ontario
Leiden University Medical Center|Erasmus Medical Center|Radboud University Medical Center,Netherlands,South Holland
Iqvia Pty Ltd|Innovate UK,United Kingdom,England
PPD|Parexel,United States,North Carolina
National Cancer Institute (NCI)|The Leukemia and Lymphoma Society,United States,Maryland
"University of California, San Francisco|San Francisco VA Health Care System",USA,California
"Bayer Healthcare Pharmaceuticals, Inc./Bayer Schering Pharma",United States,New Jersey
Genmab,Denmark,Capital Region
"Human Genome Center, Institute of Medical Science, University of Tokyo",Japan,Tokyo
Wyeth is now a wholly owned subsidiary of Pfizer,United States,New Jersey
American Society of Clinical Oncology|Merck Sharp & Dohme LLC|National Cancer Institute (NCI),United States,Virginia
Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)|Biomay AG|European Commission|University of Salzburg,Netherlands,North Holland
Rutgers Cancer Institute of New Jersey,United States,New Jersey
AstraZeneca|Shionogi,United Kingdom,England
WCCT Global,USA,California
Patient-Centered Outcomes Research Institute,United States,District of Columbia
"Guangdong Xiangxue Precision Medical Technology Co., Ltd.",China,Guangdong
Allergan,United States,California
Zhejiang Cancer Hospital,China,Zhejiang
United States Department of Defense|Merck Sharp & Dohme LLC|Celldex Therapeutics,United States,Virginia
Austrian Breast and Colorectal Cancer Study Group,Austria,Vienna
ZonMw: The Netherlands Organisation for Health Research and Development,Netherlands,North Holland
"Genomic Health®, Inc.|Pfizer",United States,California
Autoimmunity Centers of Excellence|Biogen,United States,Massachusetts
Pharmacia|Amgen|Bristol-Myers Squibb,United States,California
Susan G. Komen Breast Cancer Foundation,United States,Texas
"Jiangsu HengRui Medicine Co., Ltd.",China,Jiangsu
Seagen Inc.|Gilead Sciences,United States,Washington
Canadian Breast Cancer Foundation,Canada,Ontario
National Yang Ming Chiao Tung University,Taiwan,Hsinchu City
"Brooklyn ImmunoTherapeutics, LLC",United States,New York
InClin,USA,California
St. Joseph's Health Care London,Canada,Ontario
Eli Lilly and Company,United States,Indiana
United States Department of Defense|Pfizer,United States,Virginia
Eurofins Dermscan Pharmascan,France,Nouvelle-Aquitaine
British Heart Foundation|NHS Lothian,United Kingdom,Scotland
Vejle Hospital|University College Absalon|University Hospital Schleswig-Holstein,Denmark,Region of Southern Denmark
Swedish Cancer Foundation|Medical Research Council,Sweden,Stockholm County
Aventis Pharmaceuticals,United States,New Jersey
Janssen Pharmaceutica,Belgium,Limburg
"Cancer Institute and Hospital, Chinese Academy of Medical Sciences|Anqing Municipal Hospital|Henan Cancer Hospital|Wuhan Union Hospital, China|Peking University Shougang Hospital|Chinese PLA General Hospital|Liaoning Tumor Hospital & Institute|Tianjin Medical University Cancer Institute and Hospital|Henan Provincial People's Hospital|Shanxi Provincial Cancer Hospital|Beijing Sanhuan Cancer Hospital|Hebei Medical University Fourth Hospital|Tongji Hospital|The Affiliated Tumor Hospital of Nantong University, Nantong, Jiangsu Province, China|Bethune Charitable Foundation",China,"Anqing Municipal Hospital  
China"
Daiichi Sankyo,Japan,Tokyo
TriHealth Cancer Institute|TriHealth Surgical Institute|TriHealth Ultrasound Department|Bethesda North TriHealth Hospital|Good Samaritan TriHealth Hospital,United States,Ohio
Oxford BioMedica,United Kingdom,Oxfordshire
The Methodist Hospital Research Institute|ORION Clinical Services,United States,Texas
"Sahlgrenska University Hospital, Sweden|Skane University Hospital|Rigshospitalet, Denmark|Aarhus University Hospital|Helsinki University Central Hospital",Sweden,"Västra Götaland  
Sweden"
American Heart Association|National Center for Advancing Translational Sciences (NCATS),United States,Texas
"Medpace, Inc.",United States,Ohio
Colorado Prevention Center,United States,Colorado
American Heart Association,United States,Texas
Federal University of São Paulo,Brazil,São Paulo
Immune Tolerance Network (ITN),United States,California
ISA Pharmaceuticals B.V.,Netherlands,North Brabant
Dana-Farber Cancer Institute|Beth Israel Deaconess Medical Center|North Shore Medical Center|Sanofi,United States,Massachusetts
"Insel Gruppe AG, University Hospital Bern|Hospital of Thun|Tumor- und Brustzentrum ZeTuP St.Gallen|Gesundheitszentrum Fricktal AG|Kantonsspital Winterthur KSW|Kantonsspital Graubünden|Kantonsspital Aarau",Switzerland,Bern
"Maxygen ApS|Maxygen, Inc.|Parexel",Denmark,Capital Region
Tarix Pharmaceuticals,USA,Maryland
Shenzhen Geno-Immune Medical Institute,China,Guangdong
Vabiotech,Vietnam,Ho Chi Minh City
University of Washington,United States,Washington
Hospital Clinic of Barcelona|Hospital Universitari Joan XXIII de Tarragona.|Hospital General Universitario Gregorio Marañon|Complejo Hospitalario de Navarra|Hospital Universitario Central de Asturias|Hospital Clínico Universitario Lozano Blesa|Hospital Vall d'Hebron,Spain,"Catalonia  
Spain"
Western Galilee Hospital-Nahariya,Israel,Northern District
GlaxoSmithKline|University of Manchester,United Kingdom,England
"NGM Biopharmaceuticals, Inc",United States,California
Prometheus Laboratories,United States,California
"Charite University, Berlin, Germany|SCIRENT Clinical Research and Science d.o.o.",Germany,Berlin
Peking University First Hospital,China,Beijing
"Wuhan Union Hospital, China",China,Hubei
Peking University First Hospital|Beijing Clinical Service Center,China,Beijing
Shanghai Jiao Tong University School of Medicine,China,Shanghai
Alnylam Pharmaceuticals,United States,Massachusetts
"Peking University|Huazhong University of Science and Technology|Nanchang University|Huizhou Municipal Central Hospital|First People's Hospital, Shunde China|Shenzhen Third People's Hospital|First People's Hospital of Foshan|Tang-Du Hospital|First Affiliated Hospital of Kunming Medical University|Yuebei People's Hospital",China,Guangdong
Beijing 302 Hospital/5th Medical Center of Chinese PLA General Hospital|Beijing YouAn Hospital,China,Beijing
Arbutus Biopharma Corporation,Canada,British Columbia
"Vir Biotechnology, Inc.",United States,California
PharmaEssentia,Taiwan,Taipei City
The Affiliated Hospital Of Southwest Medical University|Guizhou Provincial People's Hospital,China,Guizhou
Flamel Technologies,France,Nouvelle-Aquitaine
Beijing 302 Hospital,China,Beijing
"Beijing 302 Hospital|Nanfang Hospital, Southern Medical University",China,Guangdong
Hoffmann-La Roche,Switzerland,Basel-Stadt
Integrated Therapeutics Group|Subsidiary of Schering-Plough,United States,New Jersey
"Janssen Research & Development, LLC",United States,New Jersey
COD Research Private Ltd,India,Karnataka
"Pharm-Olam, LLC|Chemical, Biological, Radiological, and Nuclear Medical",United States,Texas
"Vietstar Biomedical Research|Clinical Research Consultants, Inc.|Clinical Research Viet Nam Skill Training And Consultant Company Limited",Vietnam,Ho Chi Minh City
Corvidia Therapeutics,United States,Massachusetts
"Medpace, Inc.|Camurus AB",United States,Ohio
Mayo Clinic|Pfizer|National Cancer Institute (NCI),United States,Minnesota
"Berlex Laboratories, Inc.",United States,New Jersey
"Clinvest Research, LLC|Ionis Pharmaceuticals, Inc.",USA,California
"Haukeland University Hospital|Oslo University Hospital|University Hospital of North Norway|Helse Stavanger HF|Henri Mondor University Hospital|Hôpital René Huguenin|Hôpital Mignot, Versailles Paris|Uppsala University Hospital|Odense University Hospital",Norway,"Hordaland  
Norway"
"Deutsche Krebshilfe e.V., Bonn (Germany)|AOP Orphan Pharmaceuticals AG",Germany,North Rhine-Westphalia
"Laboratório de Genética Humana e Terapia Celular, Unesp - Assis|Instituto de Molestias Cardiovasculares",Brazil,São Paulo
Radiological Society of North America|National Institutes of Health (NIH)|Psychophysiologic Disorders Society|Therapeutic Encouter Foundation,United States,Maryland
Medtronic Diabetes,USA,Minnesota
"Hospira, now a wholly owned subsidiary of Pfizer",United States,Illinois
Takeda,Japan,Tokyo
Breast International Group|Hoffmann-La Roche|International Drug Development Institute|Institut Curie,Switzerland,Vaud
"1st ORL Department, AHEPA Hospital, Aristotle University of Thessaloniki|Department of Otorhinolaryngology, Head and Neck Surgery, George Papanikolaou Hospital|Department of Otorhinolaryngology, Democritus University of Thrace, Alexandroupolis|Department of Pulmonology, Democritus University of Thrace, Alexandroupolis|Respiratory Medicine Department, University of Ioannina, Faculty of Medicine|Department of Respiratory Medicine, National and Kapodistrian University of Athens|Department of Allergy and Clinical Immunology, 424 General Military Training Hospital|Department of Otolaryngology, Head and Neck Surgery, Sotiria General Hospital|Pulmonary and Respiratory Failure Department, National and Kapodistrian University of Athens",Greece,Central Macedonia
Cromos Pharma LLC|Covance,United States,New Jersey
"HIV Vaccine Trials Network (HVTN), Fred Hutch / University of Washington|GeoVax Labs, Inc|Duke University|University of Maryland, Baltimore",United States,Washington
Hexal AG,Germany,Bavaria
Hospital Clinic of Barcelona|Hospital Universitario Central de Asturias|Gregorio Marañón Hospital|Hospital Universitari Joan XXIII de Tarragona.|Complejo Hospitalario de Navarra|Hospital Vall d'Hebron|Hospital Clínico Universitario Lozano Blesa,Spain,Catalonia
Korea Health Industry Development Institute|Hanyang University|St Vincent's Hospital,South Korea,Seoul
"Rigshospitalet, Denmark|Aarhus University Hospital|Odense University Hospital|Aalborg University Hospital",Denmark,Region Hovedstaden
Liaocheng People's Hospital|Taian City Central Hospital,China,Shandong
"Ohsi, Steven, M.D|Radfar, Amir, M.D",United States,California
National Institute on Drug Abuse (NIDA),United States,Maryland
InterMune,United States,California
"Cleveland BioLabs, Inc.",United States,New York
"Amgen|Dialysis Clinic, Inc.",United States,Tennessee
H. Lundbeck A/S,Denmark,Capital Region
"National Heart, Lung, and Blood Institute (NHLBI)|National Center for Research Resources (NCRR)",United States,Maryland
"scPharmaceuticals, Inc.",United States,Massachusetts
"National Center for Research Resources (NCRR)|National Heart, Lung, and Blood Institute (NHLBI)",United States,Maryland
"American Heart Association|Scios, Inc.|National Heart, Lung, and Blood Institute (NHLBI)|National Center for Research Resources (NCRR)",United States,Texas
"Progenics Pharmaceuticals, Inc.",United States,New Jersey
"Oregon Health and Science University|Asociación Dominicana Pro Bienestar de la Familia, Inc.",United States,Oregon
Family Planning Fellowship|Pfizer,United States,New York
Pfizer|Tara Health Foundation,United States,New York
FHI 360,United States,Washington
Society of Family Planning,United States,New York
"Aga Khan University|Jhpiego|United States Agency for International Development (USAID)|Population Welfare Department, Government of Sindh, Pakistan",Pakistan,Sindh
Eastern Virginia Medical School,United States,Virginia
"Biomedical Research Centre- Respiratory (Glenfield Hospital, Leicester UK)|Genentech, Inc.",United Kingdom,England
"AstraZeneca|University Hospital, Antwerp|University Hospitals, Leicester",Belgium,Antwerp
Applied Health Research Centre,Canada,Ontario
St. Antonius Hospital|Diagram B.V.,Netherlands,Utrecht
Amarex Clinical Research,United States,Maryland
"Eli Lilly and Company|AIDS Clinical Trials Group|Brii Biosciences Limited|AstraZeneca|Sagent Pharmaceuticals|Synairgen Research Ltd.|Bristol-Myers Squibb|SAb Biotherapeutics, Inc.",United States,"Indiana  
United States"
COVID -19 Therapeutics Accelerator,United States,California
Akston Biosciences Corporation,United States,Massachusetts
"Hospital Authority, Hong Kong",Hong Kong,N/A
Instituto de Investigación Sanitaria Hospital Universitario de la Princesa,Spain,Madrid
"Davita Clinical Research|Clinical Research Consultants, LLC",United States,Minnesota
Belgium Health Care Knowledge Centre,Belgium,Flanders
"Data Management 365|K-Research, LLC",United States,California
"PBM C19 Research, LLC (a COVID-19 research entity of the Paul Manning Foundation)|Virginia Catalyst, Virginia Biosciences Health Research Corporation (VBHRC)",United States,Virginia
"AbCellera Biologics Inc.|Shanghai Junshi Bioscience Co., Ltd.|GlaxoSmithKline|Vir Biotechnology, Inc.",Canada,British Columbia; China
heckel medizintechnik GmbH,Germany,Bavaria
TRACER Europe BV|PRA Health Sciences,Netherlands,North Holland
"Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of the Rospotrebnadzor|Group of companies Medsi, JSС",Russia,Moscow
ICON plc|Johns Hopkins University,United States,Maryland
City Clinical Hospital No.52 of Moscow Healthcare Department,Russia,Moscow
Massimo Arquati|Riccardo Colombo|Umberto Russo|Manuela Nebuloni|Spinello Antinori,Italy,Lombardy
Medical Research Council|Newcastle University,United Kingdom,England
Celltrion,South Korea,Incheon
Abbott,United States,Illinois
Janssen Cilag N.V./S.A.,Belgium,Antwerp
"Teva Branded Pharmaceutical Products R&D, Inc.|Medtronic - MITG",United States,Pennsylvania
UCB Pharma,Belgium,Brussels-Capital Region
European Commission,Belgium,Brussels-Capital Region
Takeda France,France,Île-de-France
Integrated Therapeutics Group,United States,Massachusetts
"Eisai Co., Ltd.",Japan,Tokyo
H. Lee Moffitt Cancer Center and Research Institute,United States,Florida
Children's National Research Institute|Ultragenyx Pharmaceutical Inc,United States,California
Association Mucoviscidose-ABCF2|Vaincre la Mucoviscidose,France,Île-de-France
"Society for the Study of Liver Diseases, Chandigarh ( India )",India,Chandigarh
LEO Pharma,Denmark,Capital Region
Orthopaedic Trauma Association,USA,Washington
Hopital Charles Nicolle,France,Normandy
"Barnes-Jewish Hospital|Canyon Pharmaceuticals, Inc.",United States,Missouri
Aalborg University,Denmark,North Jutland
Baxter Healthcare Corporation,United States,Illinois
University of Vermont|Johns Hopkins Bloomberg School of Public Health,United States,Vermont
United States Army Medical Materiel Development Activity|Medical Technology Enterprise Consortium (MTEC),United States,Virginia
Johns Hopkins Bloomberg School of Public Health,United States,Maryland
GlaxoSmithKline|Walter Reed Army Institute of Research (WRAIR),USA,Maryland
Walter Reed Army Institute of Research (WRAIR),United States,Maryland
Eli Lilly and Company|Nordic Bioscience A/S|Profil Institut für Stoffwechselforschung GmbH,Denmark,Capital Region
United States Department of Defense,United States,Virginia
Ipsen,France,Île-de-France
National Institutes of Health (NIH),United States,Maryland
Mallinckrodt,United States,Missouri
Azienda Ospedaliera di Padova,Italy,Veneto
University of East Anglia|University of Cambridge|University of Leeds|University of Edinburgh|University of Glasgow|King's College London|Belfast Health and Social Care Trust,United Kingdom,"England  
United Kingdom"
"The Danish Diabetes Association|The Institute of Experimental Clinical Research, University of Aarhus|Novo Nordisk A/S",Denmark,Central Jutland
Swiss National Science Foundation,Switzerland,Bern
Martini Hospital Groningen,Netherlands,Groningen
Roche Diabetes Care France SAS,France,Île-de-France
"Nancy Bohannon, MD, Med. Corp.|Henry Ford Health System|Northwestern University|University of Texas Southwestern Medical Center|International Diabetes Center at Park Nicollet",United States,Michigan
"Cambridge University Hospitals NHS Foundation Trust|Insel Gruppe AG, University Hospital Bern",United Kingdom,England
"Nuon Therapeutics, Inc.",United States,California
Seoul National University,South Korea,Seoul
Novo Nordisk A/S,Denmark,Capital Region of Denmark
Profil Institut für Stoffwechselforschung GmbH,Germany,North Rhine-Westphalia
Profil Institut für Stoffwechselforschung GmbH|Parexel,Germany,Bavaria
European Pharma Group (EPG),United Kingdom,England
Duke Clinical Research Institute,United States,North Carolina
Roche Diabetes Care GmbH,Germany,Bavaria
"DexCom, Inc.",United States,California
XOMA (US) LLC,United States,California
